Name,System,Developer,Publisher,Genre,Rating,Column 1,Column 2
Bust-A-Move 2 : Arcade Edition,N64,Probe Entertainment,Acclaim,"Puzzle-Game, Action",0.6,,
Bust-A-Move 2 : Arcade Edition,SATURN,Taito,Acclaim,Puzzle-Game / Throw,0.8,,
Bust-A-Move 3,SATURN,Taito,Acclaim,Puzzle-Game / Throw,0.8,,
Bust-A-Move 4,DREAMCAST,Taito,Club Acclaim,Puzzle-Game,0.6,,
Bust-A-Move Again,FBNEO,Taito,Taito,"Puzzle-Game, Puzzle-Game / Throw",0.6,,
Buster Bros.,GB,Ocean,Hudson,Action,0.4,,
Cabal,FBNEO,Tad Corporation,Tad Corporation,"Shooter, Shooter / 3Rd Person",0.6,,
Cabbage Patch Kids - Adventures in the Park,COLECOVISION,Konami,Coleco,Platform,0.8,,
Cabbage Patch Kids Picture Show,COLECOVISION,Coleco,Coleco,Various / Print Club,,,
Cadash,FBNEO,Taito,Taito,"Platform, Platform / Fighter Scrolling",0.6,,
Cadash,PCENGINE,Taito,Working Designs,Role playing games,0.7,,
Cadillacs and Dinosaurs,FBNEO,Capcom,Capcom,Beat'em Up,0.6,,
Caliber 50,FBNEO,Athena,Athena,"Shooter, Shooter / Run And Gun",0.6,,
Campaign '84,COLECOVISION,Sunrise Software,Sunrise Software,Simulation,,,
Cannon Fodder,JAGUAR,The Dome Software Developments,Virgin Interactive,Strategy,0.8,,
Cannon Spike,DREAMCAST,Psikyo,Bigben Interactive,"Action, Shooter",0.8,,
Cannonball,CANNONBALL,Chris White,Chris White,Racing,0.9,,
Capcom Sports Club,FBNEO,Capcom,Capcom,Sports / Multisports,0.7,,
Capcom vs. SNK,DREAMCAST,Capcom,Virgin,Fight,0.8,,
Capcom vs. SNK 2 : Millionaire Fighting 2001,DREAMCAST,Capcom,Capcom,"Fight / Versus, Fight",0.8,,
Capcom vs. SNK 2 EO : Millionaire Fighting 2001,GAMECUBE,Capcom,Capcom,Fighting,0.75,,
Captain America And The Avengers,FBNEO,Data East,Data East,"Fight, Fight / 2.5D, Beat'em Up",0.6,,
Captain America and the Avengers,GB,Data East,Mindscape,"Fight, Action, Beat'em Up",0.2,,
Captain Blood,ZXSPECTRUM,Ere Informatique,Infogrames,Adventure,0.65,,
Captain Commando,FBNEO,Capcom,Capcom,Beat'em Up,0.8,,
Captain Tomaday,NEOGEO,Visco,SNK,Shoot'em up / Vertical,0.6,,
Carl Lewis Athletics 2000,GBC,Planet Interactive,Ubisoft,Sports,,,
Carnival,COLECOVISION,SEGA,Coleco,Shooter / Space Invaders Like,0.8,,
Carnival,FBNEO,SEGA,SEGA,Shooter / Space Invaders Like,0.7,,
Carrier Air Wing,FBNEO,Capcom,Capcom,"Shoot'em Up / Horizontal, Shoot'em Up",0.8,,
Carrier Command,ZXSPECTRUM,Realtime Games Software,Rainbird Software,Strategy,0.4,,
Castelian,NES,Bits Studios,Storm,Platform,0.4,,
Castle of Illusion Starring Mickey Mouse,MASTERSYSTEM,SEGA,SEGA,Platform,0.6,,
Castle of Illusion Starring Mickey Mouse,MEGADRIVE,SEGA,SEGA,"Platform, Action, Platform / Run Jump Scrolling",0.6,,
Castle Quest,GB,Hudson,Hudson,Role playing games,0.65,,
Castlevania,NES,Konami,Konami,Adventure,0.8,,
Castlevania : Aria of Sorrow,GBA,Konami,Konami,"Action / Adventure, Action, Platform",0.8,,
Castlevania : Bloodlines,MEGADRIVE,Konami,Konami,Platform,0.8,,
Castlevania : Circle of the Moon,GBA,Konami,Konami,Adventure,0.8,,
Castlevania : Dracula X,SNES,Konami,Konami,Action,0.7,,
Castlevania : Harmony of Dissonance,GBA,Konami,Konami,Adventure,0.8,,
Castlevania : Symphony of the Night (USA),PSX,Konami,Konami,"Action, Action / Adventure, Platform",0.8,,
Castlevania Chronicles (USA),PSX,Konami,Konami,Platform,0.6,,
Castlevania III : Dracula's Curse,NES,Konami,Konami,"Action / Adventure, Action, Platform",0.8,,
Caveman Ninja,FBNEO,Data East,Data East,Platform / Shooter Scrolling,0.7,,
Centipede,COLECOVISION,Atari,Atari,"Shooter / Vehicle, 1St Person, Shooter, Shooter / Space Invaders Like",0.6,,
